rank,prev_rank,name,league,off,def,spi
227,229,Konyaspor,Turkish Turkcell Super Lig,1.1,1.02,47.13
228,260,Nottingham Forest,English League Championship,1.3,1.23,47.11
229,226,Ceará,Brasileiro Série A,1.21,1.14,47.06
230,237,ADO Den Haag,Dutch Eredivisie,1.69,1.65,46.98
231,230,Caen,French Ligue 1,1.13,1.06,46.91
232,231,Banfield,Argentina Primera Division,1.23,1.17,46.71
233,242,Portimonense,Portuguese Liga,1.38,1.34,46.67
234,216,Rubin Kazan,Russian Premier Liga,1.02,0.95,46.64
235,235,FK Qarabag,UEFA Europa League,1.26,1.22,46.48
236,236,Vorskla,UEFA Europa League,1.19,1.14,46.43
237,281,Osasuna,Spanish Segunda Division,1.26,1.23,46.39
238,224,New York Red Bulls,Major League Soccer,1.29,1.25,46.33
239,245,Chapecoense AF,Brasileiro Série A,1.18,1.13,46.33
240,241,FC Groningen,Dutch Eredivisie,1.07,1.02,46.21
241,238,Hull City,English League Championship,1.42,1.41,46.16
242,257,Tijuana,Mexican Primera Division Torneo Clausura,1.29,1.26,46.15
243,264,FC Luzern,Swiss Raiffeisen Super League,1.49,1.49,46.09
244,244,Tigre,Argentina Primera Division,1.44,1.43,46.0
245,246,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.34,1.33,45.93
246,248,Fluminense,Brasileiro Série A,1.19,1.17,45.79
247,261,Rio Ave,Portuguese Liga,1.35,1.35,45.78
248,225,Preston North End,English League Championship,1.31,1.31,45.77
249,270,FC Tokyo,Japanese J League,1.15,1.14,45.33
250,252,Sporting de Charleroi,Belgian Jupiler League,1.41,1.44,45.26
251,249,Philadelphia Union,Major League Soccer,1.36,1.38,45.26
252,253,SV Zulte Waregem,Belgian Jupiler League,1.7,1.75,45.21
253,254,AEK Larnaca,UEFA Europa League,1.17,1.17,45.21
254,233,Rosenborg,Norwegian Tippeligaen,1.32,1.34,45.17
255,255,Newell's Old Boys,Argentina Primera Division,1.16,1.17,45.14
256,311,Brest,French Ligue 2,1.32,1.34,45.12
257,272,SV Mattersburg,Austrian T-Mobile Bundesliga,1.39,1.42,45.09
258,228,Metz,French Ligue 2,1.14,1.15,45.0
259,250,Queens Park Rangers,English League Championship,1.27,1.3,44.94
260,258,Sivasspor,Turkish Turkcell Super Lig,1.43,1.48,44.77
261,256,FC Sion,Swiss Raiffeisen Super League,1.39,1.43,44.76
262,243,Kashima Antlers,Japanese J League,1.32,1.37,44.69
263,239,Thun,Swiss Raiffeisen Super League,1.54,1.61,44.45
264,262,Pumas Unam,Mexican Primera Division Torneo Clausura,1.32,1.38,44.39
265,273,Vitoria Setubal,Portuguese Liga,1.05,1.08,44.36
266,289,Troyes,French Ligue 2,1.0,1.02,44.35
267,296,Wigan,English League Championship,1.29,1.35,44.23
268,266,Lanus,Argentina Primera Division,1.16,1.21,44.12
269,267,Dalian Aerbin,Chinese Super League,1.33,1.41,44.08
270,269,Videoton FC,UEFA Europa League,1.21,1.27,44.06
